,ra,dec,plx,pmra,pmdec,g_mag,bp_mag,rp_mag,label,g_rp,bp_g,bp_rp
49345,4.202,-0.017,14.202,162.7,-227.0,19.588,20.082,18.944,1,0.6440000000000019,0.4939999999999998,1.1380000000000017
58049,2.816,0.401,18.391,-58.7,-164.6,18.755,19.2,18.068,1,0.6869999999999976,0.4450000000000003,1.131999999999998
54663,2.871,-0.134,12.69,28.4,-164.9,19.595,20.198,18.791,1,0.8039999999999985,0.6030000000000015,1.407
28301,4.453,-1.17,13.315,-89.6,-47.9,18.846,19.253,18.319,0,0.527000000000001,0.407,0.934000000000001
47571,5.678,-0.315,38.577,-126.8,-712.3,14.751,14.869,14.52,1,0.2309999999999998,0.1180000000000003,0.3490000000000002
42998,0.647,-1.443,14.559,-216.5,-245.8,19.551,19.875,18.943,1,0.607999999999997,0.3240000000000016,0.9319999999999986
69771,1.127,1.081,26.426,276.4,-250.0,18.431,19.003,17.702,1,0.7289999999999992,0.5719999999999992,1.3009999999999984
70839,4.634,0.726,26.062,-340.3,417.4,17.929,18.422,17.26,1,0.6689999999999969,0.4930000000000021,1.161999999999999
1048,3.011,0.672,10.43,-102.7,-65.7,16.091,16.044,16.182,0,-0.0909999999999975,-0.0470000000000006,-0.1379999999999981
57767,0.405,-0.347,22.53,359.7,128.8,19.817,20.75,18.862,1,0.9550000000000018,0.9329999999999998,1.8880000000000017
3064,0.033,0.326,10.928,77.3,-55.3,18.012,18.131,17.809,0,0.2029999999999994,0.1189999999999997,0.3219999999999992
14083,5.805,-0.238,14.117,186.4,30.8,19.186,19.539,18.627,0,0.559000000000001,0.3530000000000015,0.9120000000000026
61573,0.87,0.421,12.462,163.5,-228.6,19.397,19.887,18.755,1,0.6419999999999995,0.490000000000002,1.1320000000000014
15674,1.586,-0.164,14.677,58.5,0.2,19.053,19.527,18.451,0,0.6020000000000003,0.4740000000000002,1.0760000000000003
18628,4.348,-0.17,10.626,-100.1,-76.1,16.495,16.469,16.55,0,-0.0549999999999997,-0.0259999999999998,-0.0809999999999995
